id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	ability	-0.164	-0.4005	1	43	56	10	2022	10.9	0.5222
2	addition	0.7824	-0.3086	1	59	94	13	2021.7692	13	0.4751
3	ahp	0.6232	0.8413	1	35	43	6	2019.5	13.1667	0.4403
4	alternative	0.1164	0.1378	1	69	117	19	2020.5263	17.6316	0.7438
5	ann	0.6139	0.2105	1	78	146	19	2021.5789	15.7368	0.5451
6	anns	0.8088	0.636	1	36	48	6	2022.3333	22.5	2.0284
7	artificial intelligence	-0.1825	0.3751	1	80	149	22	2023.2273	15.9545	1.3264
8	artificial neural network	0.6767	0.0847	1	88	226	30	2021.7333	16.3	0.7946
9	attention	-0.2535	0.4085	3	72	121	16	2021.75	27.6875	1.5289
10	building	-0.1911	-0.7027	3	84	196	25	2021.96	24.56	1.5314
11	carbon	0.1342	-0.9475	2	49	65	9	2022.3333	12.3333	1.2823
12	carbon emission	-0.3364	-0.5923	2	66	102	14	2023.6429	12.9286	1.4998
13	carbon footprint	0.8013	0.4964	1	32	36	6	2021.8333	9.8333	0.3489
14	category	-0.084	0.2636	3	57	72	13	2020.5385	24.3846	0.9451
15	change	0.4915	0.6273	1	54	85	16	2021.4375	18	0.4689
16	chemical	0.2504	0.0516	1	45	63	9	2019.8889	17.7778	0.545
17	china	0.2317	-0.499	3	59	97	14	2022	17.2143	1.4454
18	circular economy	-0.909	0.636	3	40	54	8	2023.25	35.625	1.8705
19	climate change	-0.8995	-0.1594	2	55	72	10	2021.4	50.6	2.2207
20	cluster	-0.1007	0.7838	3	43	59	9	2020.5556	13.5556	0.5087
21	clustering	-0.66	0.7403	3	47	72	11	2020.0909	15.5455	0.6765
22	co2 emission	0.1486	-0.4993	3	38	48	9	2021	13	0.7097
23	coefficient	-0.4817	-0.6875	2	71	132	17	2022.2353	22.4706	1.4719
24	comparison	0.5388	0.0703	1	66	104	17	2020.8235	17.7059	0.7011
25	complexity	-0.275	0.5503	1	69	112	17	2021.1176	21.8824	1.0615
26	component	-0.4811	0.5255	2	64	101	17	2022.3529	7.2941	0.4679
27	concept	-0.7896	-0.0036	1	42	70	10	2021	23.1	0.8979
28	construction	-0.4076	0.1996	3	52	83	12	2021.8333	18	0.5194
29	correlation	0.0037	0.5505	3	55	85	15	2021.8	11.0667	0.4298
30	country	0.3953	0.4458	1	53	78	13	2018.9231	26.3846	0.8357
31	cradle	0.8025	-0.009	1	31	39	7	2020.1429	26.1429	0.7932
